#	Use the band widths? (0: No, 1: Yes)   WaveLength(Angstrom)
1	0.085885
#	Phi(deg)		Sigma(deg)	Sigma_begin(deg)	Sigma_end(deg)
348.75000  5.13310  4.03404  6.23216
278.10000  24.41498  23.29603  25.53393
58.95000  35.41126  34.33610  36.48641
209.25000  39.80517  37.47034  42.14000
121.50000  25.08342  23.76287  26.40397
219.60000  16.25082  14.82836  17.67329
345.60000  34.44970  32.10839  36.79100
301.50000  47.30404  45.04207  49.56602
152.10000  30.31487  27.20766  33.42209
32.40000  29.83230  26.83990  32.82470
79.20000  5.87617  3.85973  7.89261
144.90000  12.08589  9.73385  14.43793
48.15000  7.68883  5.34020  10.03745
110.70000  2.32737  -0.09649  4.75122
193.50000  26.08573  22.86228  29.30919
172.80000  29.86921  27.82541  31.91300
19.35000  24.22354  22.21788  26.22919
265.50000  43.46802  40.48841  46.44762
315.45000  17.93189  15.82373  20.04006
195.75000  7.03979  4.64556  9.43402
256.50000  24.00601  20.42266  27.58936
245.70000  22.64644  20.19048  25.10239
