#	Use the band widths? (0: No, 1: Yes)   WaveLength(Angstrom)
1	0.085885
#	Phi(deg)		Sigma(deg)	Sigma_begin(deg)	Sigma_end(deg)
72.45000  1.63555  0.51112  2.75998
126.45000  0.96161  -0.16427  2.08748
202.05000  20.71955  19.54927  21.88983
178.65000  38.25093  36.21696  40.28490
355.95000  22.31883  21.14571  23.49195
223.65000  44.25105  42.43035  46.07175
279.00000  17.31303  14.50997  20.11610
99.45000  1.46453  -0.65597  3.58503
297.90000  27.36909  25.49354  29.24464
259.65000  26.83275  24.92630  28.73919
69.75000  13.17838  10.97511  15.38165
36.00000  15.05841  13.17490  16.94192
162.90000  13.66592  11.78285  15.54900
228.15000  10.52138  8.38604  12.65671
129.15000  12.40371  10.19675  14.61068
264.15000  38.73083  35.98467  41.47700
330.30000  11.73350  9.60292  13.86408
320.85000  28.39385  25.65700  31.13071
292.95000  39.15419  36.41820  41.89017
237.15000  27.30865  24.55137  30.06594
1.80000  14.47483  10.12302  18.82663
